seed,scenario,timestep,cka_drop,l2_drop,PAK_B1,PAK_B2,PAK_B3_L2,PAK_KARAT,PAK_B4_ORC
99,S1_targeted,10,0.0913,-0.000621,0.2733,0.6893,0.6893,0.8347,0.9133
99,S2_coordinated,0,0.0,0.0,0.2733,0.9387,0.9387,0.9387,0.9973
99,S2_coordinated,2,0.0011,-0.000077,0.2733,0.9313,0.9313,0.9313,0.9947
99,S2_coordinated,4,0.0020,-0.002521,0.2733,0.9273,0.9273,0.9273,0.9933
99,S2_coordinated,6,0.0064,-0.009021,0.2733,0.8960,0.8960,0.9013,0.9907
99,S2_coordinated,8,0.0131,-0.018281,0.2733,0.8993,0.8993,0.9060,0.9813
99,S2_coordinated,10,0.0348,-0.032121,0.2733,0.8333,0.8333,0.8520,0.9400
99,S3_cascading,0,0.0,0.0,0.2733,0.9387,0.9387,0.9387,0.9973
99,S3_cascading,2,0.0022,-0.000729,0.2733,0.9300,0.9300,0.9300,0.9960
99,S3_cascading,4,0.0040,-0.002459,0.2733,0.9247,0.9247,0.9287,0.9947
99,S3_cascading,6,0.0083,-0.005229,0.2733,0.9060,0.9060,0.9167,0.9907
99,S3_cascading,8,0.0066,-0.011549,0.2733,0.8927,0.8927,0.8980,0.9867
99,S3_cascading,10,0.0057,-0.018921,0.2733,0.8833,0.8833,0.8887,0.9800
2024,S1_targeted,0,0.0,0.0,0.2631,0.9387,0.9387,0.9387,0.9973
2024,S1_targeted,2,0.0074,0.001681,0.2631,0.9260,0.9827,0.9300,0.9960
2024,S1_targeted,4,0.0188,0.003321,0.2631,0.9093,0.9907,0.9280,0.9947
2024,S1_targeted,6,0.0388,0.005181,0.2631,0.8613,0.9813,0.9173,0.9920
2024,S1_targeted,8,0.0663,0.004361,0.2631,0.8040,0.9600,0.8933,0.9747
2024,S1_targeted,10,0.0901,-0.000741,0.2631,0.6867,0.6867,0.8293,0.9133
2024,S2_coordinated,0,0.0,0.0,0.2631,0.9387,0.9387,0.9387,0.9973
2024,S2_coordinated,2,0.0011,-0.000073,0.2631,0.9307,0.9307,0.9307,0.9947
2024,S2_coordinated,4,0.0020,-0.002501,0.2631,0.9267,0.9267,0.9267,0.9933
2024,S2_coordinated,6,0.0063,-0.008961,0.2631,0.8953,0.8953,0.9007,0.9907
2024,S2_coordinated,8,0.0130,-0.018121,0.2631,0.8980,0.8980,0.9047,0.9813
2024,S2_coordinated,10,0.0345,-0.031841,0.2631,0.8320,0.8320,0.8507,0.9400
2024,S3_cascading,0,0.0,0.0,0.2631,0.9387,0.9387,0.9387,0.9973
2024,S3_cascading,2,0.0022,-0.000718,0.2631,0.9293,0.9293,0.9293,0.9960
2024,S3_cascading,4,0.0040,-0.002441,0.2631,0.9240,0.9240,0.9280,0.9947
2024,S3_cascading,6,0.0082,-0.005199,0.2631,0.9053,0.9053,0.9160,0.9907
2024,S3_cascading,8,0.0066,-0.011511,0.2631,0.8920,0.8920,0.8973,0.9867
2024,S3_cascading,10,0.0057,-0.018861,0.2631,0.8827,0.8827,0.8880,0.9800
